CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ
0.1,2.2,0.04968863000000001,0.6075195050000001,-0.0011257816503744919
0.2,2.2,0.09872957499999999,0.612740875,-0.002387211770154604
0.3,2.2,0.14944009499999997,0.620957575,-0.0037342629448782307
0.4,2.2,0.22957879999999994,0.642940235,-0.0026309758752733493
0.5,2.2,0.27973791000000003,0.660489455,-0.003273270859660236
0.6,2.2,0.44020023499999994,0.705714255,-8.387499904506955
0.7,2.2,0.71008133,0.8159567300000001,-15.324381850432426
0.8,2.2,0.991206605,0.9941381300000002,-0.5983638356691994
0.9,2.2,0.9997323399999998,0.9997323399999998,-1.1936630814332871e-09
0.0,2.4000001,-3.5499999999999994e-07,0.603389885,-3.206974812117432e-07
0.1,2.4000001,0.04856959500000001,0.6048824950000001,-0.0011237090533774302
0.2,2.4000001,0.09724147999999998,0.6097812350000001,-0.0024229096572117937
0.3,2.4000001,0.14722108,0.61778886,-0.003773715698101918
0.4,2.4000001,0.22578015500000004,0.6386352350000001,-0.0025419377608153835
0.5,2.4000001,0.275564065,0.6563074999999998,-0.0031664881477213767
0.6,2.4000001,0.34059235499999996,0.67485763,-1.4310222642037949
0.7,2.4000001,0.68473908,0.8029868600000001,-14.976511301005221
0.8,2.4000001,0.9778313549999998,0.9854254449999997,-1.4763829227397594
0.9,2.4000001,0.9997297250000001,0.9997297250000001,-3.978876938110956e-10
0.0,2.5999999,-1.7000000000000001e-07,0.6005809650000001,-5.922558322378159e-07
0.1,2.5999999,0.04816894,0.6017711749999999,-0.0011658017914495525
0.2,2.5999999,0.096051695,0.60637334,-0.0023508406571194837
0.3,2.5999999,0.150492075,0.6141251700000001,-0.003384809324259372
0.4,2.5999999,0.22204662499999994,0.6343178349999999,-0.002457738756489548
0.5,2.5999999,0.27143357,0.6520934300000001,-0.00306656123969073
0.6,2.5999999,0.317732205,0.6659471100000001,-0.03851298844693293
0.7,2.5999999,0.6546996849999999,0.787212655,-14.074931869889133
